file,class_name,source_origin,source_topic,loc,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,exception_types,test_exists,test_compiled,test_compile_errors,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
MinimumWindowSubstringV.java,MinimumWindowSubstringV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumWindowSubstringVI.java,MinimumWindowSubstringVI,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringVII.java,MinimumWindowSubstringVII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringVIII.java,MinimumWindowSubstringVIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MissingBraceUtility.java,MissingBraceUtility,unknown,,3,False,False,1,0,False,0,,True,False,3,0,0,0,test_compile_failed,4,1333.33,High,1,"source_compile,test_compile"
MissingBracketAnalyzer.java,MissingBracketAnalyzer,unknown,,4,False,False,1,0,False,0,,True,False,6,0,0,0,test_compile_failed,7,1750.0,High,1,"source_compile,test_compile"
MissingNumberFinder.java,MissingNumberFinder,unknown,,8,False,True,0,0,False,0,,True,True,0,6,0,6,tests_executed,0,0.0,Clean,0,none
MissingRanges.java,MissingRanges,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MissingRangesII.java,MissingRangesII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MissingRangesIII.java,MissingRangesIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MissingRangesIV.java,MissingRangesIV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MissingReturnCalculator.java,MissingReturnCalculator,unknown,,5,False,False,1,0,False,0,,True,False,6,0,0,0,test_compile_failed,7,1400.0,High,1,"source_compile,test_compile"
MissingReturnCase.java,MissingReturnCase,unknown,,7,False,False,1,0,False,0,,True,False,2,0,0,0,test_compile_failed,3,428.57,High,1,"source_compile,test_compile"
